incident_date,city,state,description,plan,citation
1/12/2017,dyersburg,tn,Worker died in fall through skylight.,unknown,unknown
1/12/2017,midland,tx,Worker died after being found unresponsive inside FRAC tank.,unknown,unknown
1/12/2017,venice,fl,Worker died after being struck by tree limb.,unknown,unknown
1/12/2017,sikeston,mo,Worker fatally crushed between mast and body of truck. ,unknown,unknown
1/12/2017,miami,fl,Worker drowned while performing commercial diving.,unknown,unknown
1/12/2017,romeoville,il,Worker died after being struck by falling automotive products. ,unknown,unknown
1/12/2017,cerritos,ca,Worker died after being struck by vehicle.,unknown,unknown
1/11/2017,el reno,ok,Worker died after being struck by a forklift. ,unknown,unknown
1/11/2017,dearborn,mi,Worker inspecting crane died in fall when walkway collapsed.,unknown,unknown
1/10/2017,clermont,fl,Worker died in fall. ,unknown,unknown
1/10/2017,valley spring,ca,Worker drowned when ATV entered water.,unknown,unknown
1/10/2017,rivera beach,md,Worker performing flagging activities in work zone died after being struck by vehicle.,unknown,unknown
1/10/2017,tacoma,wa,Worker fatally crushed between two trailers.,unknown,unknown
1/9/2017,west palm beach,fl,Worker electrocuted when forklift contacted energized cable.,unknown,unknown
1/9/2017,boerne,tx,Worker died after being struck by truck. ,unknown,unknown
1/7/2017,killington,vt,Worker died in fall through hole in floor of ski gondola.,unknown,unknown
1/7/2017,susanville,ca,Worker died after being struck by semi-truck.,unknown,unknown
1/6/2017,kevil,ky,Worker electrocuted after contacting power lines.,unknown,unknown
1/6/2017,bethlehem,pa,Worker killed in fall through floor opening.,unknown,unknown
1/6/2017,henderson,nv,Worker died in fall from roof.,unknown,unknown
1/6/2017,ocala,fl,Worker killed in fall through floor opening.,unknown,unknown
1/6/2017,sierra madre,ca,Worker killed in fall from tree.,unknown,unknown
1/5/2017,hutchins,tx,Worker struck and killed by truck.,unknown,unknown
1/5/2017,evans,ga,Worker killed in trench collapse.,unknown,unknown
1/5/2017,houston,tx,Worker killed in fall from skylight.,unknown,unknown
1/5/2017,spokane,wa,Worker fatally crushed by trailer.,unknown,unknown
1/4/2017,belfield,nd,Worker killed in oil field explosion/fire.,unknown,unknown
1/4/2017,san jose,ca,Worker died after striking head in fall fom chair.,unknown,unknown
1/4/2017,savannah,tn,Worker killed when vehicle overturned.,unknown,unknown
1/4/2017,rotan,tx,Worler fatally crushed between two pieces of machinery.,unknown,unknown
1/3/2017,la verkin,ut,Worker died after being struck by excavator counterweight.,unknown,unknown
1/3/2017,elizabethtown,ky,Worker fatally stabbed by resident.,unknown,unknown
1/3/2017,walla walla,wa,Worker crushed between arm and cab of skid loader.,unknown,unknown
1/3/2017,jacksonville,fl,Worker killed in fall from scissor lift.,unknown,unknown
1/3/2017,mount pleasant,tx,Worker struck and killed by truck.,unknown,unknown
1/3/2017,cut and shoot,tx,Worlker killed in fall from tree.,unknown,unknown
1/2/2017,shakopee,mn,Worker killed in fall inside grain tank.,unknown,unknown
12/31/2016,union,oh,Worker killed in fall from platform.,unknown,unknown
12/29/2016,houston,tx,Worker fatally crushed by granite slabs.,unknown,unknown
12/29/2016,orange,tx,Two workers hospitalized after being sprayed with caustic black liquor.,unknown,unknown
12/29/2016,hurley,sd,Worker killed in fall from height.,unknown,unknown
12/29/2016,houston,tx,Worker fatally crushed by granite slabs.,unknown,unknown
12/29/2016,suamico,wi,One worker killed and another hospitalized due to carbon monoxide poisoning.,unknown,unknown
12/28/2016,demopolis,al,Worker struck and killed by truck.,unknown,unknown
12/28/2016,tampa,fl,Worker struck and killed by front loader.,unknown,unknown
12/28/2016,tybee island,ga,Worker electrocuted after falling from tree onto power lines.,unknown,unknown
12/27/2016,houston,tx,Worker killed in fall from ladder.,unknown,unknown
12/27/2016,belpre,oh,Worker killed in fall from roof.,unknown,unknown
12/27/2016,cottage grove,mn,Worker died after being struck by object while making deliveries.,unknown,unknown
12/27/2016,hot springs,ar,Worker died from injuries sustained in mixing machine.,unknown,unknown
12/24/2016,johnson city,tn,Worker killed in fall through skylight.,unknown,unknown
12/24/2016,nashville,tn,Worker directing traffic struck and killed by vehicle.,unknown,unknown
12/23/2016,new york,ny,Worker killed in fall from height while pouring concrete floor.,unknown,unknown
12/23/2016,sanford,fl,Worker killed in fall from roof.,unknown,unknown
12/23/2016,brooklyn,ny,Worker struck and killed by box truck.,unknown,unknown
12/22/2016,selah,wa,Worker struck and killed by train.,unknown,unknown
12/21/2016,macon,ga,Worker fatally crushed by pipes.,unknown,unknown
12/21/2016,mcewen,tn,Worker struck and killed by crane basket.,unknown,unknown
12/21/2016,galveston,tx,Worker killed in fall from roof.,unknown,unknown
12/21/2016,morehead,ky,Worker killed in vehicle collision.,unknown,unknown
12/21/2016,blytheville,ar,Worker fatally crushed between two port cars.,unknown,unknown
12/21/2016,newcastle,tx,Worker struck and killed by tractor.,unknown,unknown
12/21/2016,houston,tx,Worker struck and killed by pipe.,unknown,unknown
12/20/2016,altamonte springs,fl,Worker struck and killed by equipment during loading.,unknown,unknown
12/20/2016,cartersville,ga,Worker fatally crushed between transfer cart and doorway.,unknown,unknown
12/19/2016,stratford,wi,Worker killled in fall from height.,unknown,unknown
12/19/2016,san antonio,tx,One worker killed and another hospitalized in fall from scaffold.,unknown,unknown
12/19/2016,loxahatchee,fl,Worker drowned when front end loader toppled over into canal.,unknown,unknown
12/18/2016,oakland,ca,Worker hospitalized after being struck by falling containers.,unknown,unknown
12/16/2016,colleyville,tx,Worker struck and killed by paving roller.,unknown,unknown
12/15/2016,belton,mo,Worker killed in trench collapsed.,unknown,unknown
12/14/2016,stratford,wi,Worker asphyxiated while welding.,unknown,unknown
12/14/2016,plano,tx,Worker killed in fall from ladder.,unknown,unknown
12/14/2016,cherryvale,ks,A worker died after being run over by a pick-up truck at work.,unknown,unknown
12/14/2016,north bergen,nj,Worker fatally crushed when forklift fell from ramp.,unknown,unknown
12/14/2016,arcola,ms,Worker hospitalized after being struck by tree limb.,unknown,unknown
12/14/2016,santa clara,ca,Worker electrocuted by circuit breaker panel.,unknown,unknown
12/14/2016,evansville,in,Worker killed in fall in tank.,unknown,unknown
12/14/2016,marietta,ga,Worker hospitalized after being struck by car.,unknown,unknown
12/13/2016,bryan,tx,Worker hospitalized after being struck by bucket truck.,unknown,unknown
12/13/2016,vine grove,ky,Worker struck and killed by dump truck.,unknown,unknown
12/13/2016,beatrice,ne,One worker killed and another hospitalized from exposure to chemical fumes.,unknown,unknown
12/13/2016,scottsdale,az,Worker killed in fall through skylight.,unknown,unknown
12/12/2016,martinsville,in,Worker struck and killed by falling I-beam.,unknown,unknown
12/12/2016,summit,il,Worker struck and killed by powered industrial vehicle.,unknown,unknown
12/12/2016,jupiter,fl,Worker struck and killed by front end loader.,unknown,unknown
12/11/2016,truckee,ca,Worker killed in skiing collision.,unknown,unknown
12/10/2016,eden prairie,mn,Worker struck and killed by trunk lid.,unknown,unknown
12/10/2016,las cruces,nm,Worker struck and killed by rim when tire exploded.,unknown,unknown
12/10/2016,fresno,ca,Worker died in fall through skylight.,unknown,unknown
12/8/2016,saint louis,mo,Worker struck and killed by truck when parking brake failed.,unknown,unknown
