incident_date,city,state,description,plan,citation
6/21/2016,pompano beach,FL,Worker trimming tree electrocuted when chain saw contacted power line.,unknown,unknown
6/20/2016,ross,ND,Worker struck and killed by cantilever boom.,unknown,unknown
6/20/2016,cedarville,CA,Worker killed in fall from hay stack.,unknown,unknown
6/20/2016,stockton,CA,Worker struck and killed by motor vehicle while changing flat tire.,unknown,unknown
6/20/2016,columbus,OH,Worker fatally crushed by mechamnical press.,unknown,unknown
6/20/2016,athens,AL,Worker died after falling and striking head on floor.,unknown,unknown
6/20/2016,sioux falls,SD,Worker died from heat related illness while digging post-holes for deck.,unknown,unknown
6/20/2016,new orleans,LA,Worker fatally crushed by excavator.,unknown,unknown
6/20/2016,lebanon,PA,Worker killed in trench collapse.,unknown,unknown
6/20/2016,willow springs,IL,Worker killed in fall from scaffold.,unknown,unknown
6/19/2016,commack,NY,Worker trimming tree electrocuted after contacting power line.,unknown,unknown
6/19/2016,cusseta,AL,Worker fatally crushed by automotive assembly line robot.,unknown,unknown
6/18/2016,davenport,FL,Worker killed in fall from truck cab.,unknown,unknown
6/18/2016,aurora,CO,Worker fatally shot during attempted robbery.,unknown,unknown
6/18/2016,watford city,ND,One worker killed and two others hospitalized following oil well explosion and fire.,unknown,unknown
6/18/2016,hearne,TX,Worker died after getting caught in press.,unknown,unknown
6/18/2016,houston,TX,Worker killed in fall on ship.,unknown,unknown
6/17/2016,kennett,MO,Worker struck and killed by vehicle.,unknown,unknown
6/17/2016,rensselaer,NY,Worker struck and killed by fan.,unknown,unknown
6/16/2016,catasauqua,PA,Worker struck and killed by piece of metal while flattening steel plates.,unknown,unknown
6/16/2016,mobile,AL,Worker electrocuted while welding ship module.,unknown,unknown
